"d.hits","wk.hits","adj.d"
13,0,30.7272727272727
1,32,32
30,0,960
38,0,1216
63,0,2016
41,0,1312
37,0,1184
13,0,416
13,26,26
38,0,76
38,0,76
27,0,54
11,0,22
39,0,78
1,0,2
6,41,41
30,0,205
71,0,485.166666666667
44,0,300.666666666667
39,0,266.5
37,0,252.833333333333
7,0,47.8333333333333
13,62,62
78,0,372
100,0,476.923076923077
71,0,338.615384615385
82,0,391.076923076923
36,0,171.692307692308
24,0,114.461538461538
7,56,56
67,0,536
78,0,624
64,0,512
45,0,360
37,0,296
14,0,112
11,47,47
39,0,166.636363636364
49,0,209.363636363636
46,0,196.545454545455
50,0,213.636363636364
57,0,243.545454545455
13,0,55.5454545454545
7,43,43
30,0,184.285714285714
62,0,380.857142857143
32,0,196.571428571429
52,0,319.428571428571
51,0,313.285714285714
13,0,79.8571428571429
20,60,60
73,0,219
78,0,234
91,0,273
74,0,222
85,0,255
27,0,81
10,63,63
69,0,434.7
83,0,522.9
75,0,472.5
68,0,428.4
67,0,422.1
14,0,88.2
11,55,55
59,0,295
66,0,330
56,0,280
62,0,310
46,0,230
7,0,35
7,49,49
32,0,224
49,0,343
51,0,357
72,0,504
57,0,399
19,0,133
8,59,59
35,0,258.125
54,0,398.25
66,0,486.75
88,0,649
88,0,649
25,0,184.375
18,73,73
41,0,166.277777777778
81,0,328.5
77,0,312.277777777778
92,0,373.111111111111
64,0,259.555555555556
20,0,81.1111111111111
16,84,84
34,0,178.5
55,0,288.75
61,0,320.25
46,0,241.5
46,0,241.5
10,0,52.5
4,64,64
26,0,416
55,0,880
53,0,848
58,0,928
50,0,800
6,0,96
8,59,59
39,0,287.625
34,0,250.75
39,0,287.625
39,0,287.625
52,0,383.5
4,0,29.5
4,93,93
51,0,1185.75
28,0,651
58,0,1348.5
100,0,2325
83,0,1929.75
16,0,372
16,81,81
58,0,293.625
56,0,283.5
48,0,243
45,0,227.8125
33,0,167.0625
12,0,60.75
14,77,77
56,0,308
58,0,319
54,0,297
41,0,225.5
43,0,236.5
20,0,110
8,76,76
35,0,332.5
53,0,503.5
48,0,456
51,0,484.5
50,0,475
16,0,152
12,93,93
51,0,395.25
43,0,333.25
83,0,643.25
88,0,682
52,0,403
16,0,124
4,76,76
53,0,1007
36,0,684
39,0,741
39,0,741
32,0,608
10,0,190
8,62,62
48,0,372
36,0,279
35,0,271.25
34,0,263.5
41,0,317.75
11,0,85.25
4,38,38
25,0,237.5
45,0,427.5
20,0,190
26,0,247
28,0,266
8,0,76
4,41,41
29,0,297.25
28,0,287
24,0,246
19,0,194.75
19,0,194.75
4,0,41
6,31,31
4,0,20.6666666666667
30,0,155
30,0,155
38,0,196.333333333333
29,0,149.833333333333
5,0,25.8333333333333
4,44,44
33,0,363
58,0,638
35,0,385
47,0,517
42,0,462
16,0,176
9,40,40
38,0,168.888888888889
44,0,195.555555555556
44,0,195.555555555556
27,0,120
24,0,106.666666666667
12,0,53.3333333333333
5,46,46
27,0,248.4
27,0,248.4
33,0,303.6
31,0,285.2
36,0,331.2
10,0,92
19,39,39
24,0,49.2631578947368
26,0,53.3684210526316
42,0,86.2105263157895
29,0,59.5263157894737
26,0,53.3684210526316
5,0,10.2631578947368
4,32,32
19,0,152
28,0,224
29,0,232
31,0,248
34,0,272
12,0,96
5,34,34
31,0,210.8
31,0,210.8
27,0,183.6
14,0,95.2
20,0,136
7,0,47.6
5,48,48
25,0,240
23,0,220.8
42,0,403.2
44,0,422.4
46,0,441.6
21,0,201.6
9,77,77
38,0,325.111111111111
43,0,367.888888888889
77,0,658.777777777778
100,0,855.555555555556
53,0,453.444444444444
7,0,59.8888888888889
4,41,41
28,0,287
48,0,492
51,0,522.75
36,0,369
42,0,430.5
9,0,92.25
14,55,55
42,0,165
41,0,161.071428571429
39,0,153.214285714286
26,0,102.142857142857
69,0,271.071428571429
9,0,35.3571428571429
7,33,33
53,0,249.857142857143
30,0,141.428571428571
29,0,136.714285714286
5,0,23.5714285714286
26,0,122.571428571429
7,0,33
4,37,37
25,0,231.25
29,0,268.25
34,0,314.5
34,0,314.5
32,0,296
7,0,64.75
4,48,48
35,0,420
42,0,504
62,0,744
45,0,540
46,0,552
11,0,132
7,56,56
51,0,408
100,0,800
78,0,624
79,0,632
91,0,728
15,0,120
7,43,43
46,0,282.571428571429
53,0,325.571428571429
58,0,356.285714285714
30,0,184.285714285714
45,0,276.428571428571
15,0,92.1428571428572
16,41,41
25,0,64.0625
40,0,102.5
58,0,148.625
61,0,156.3125
48,0,123
11,0,28.1875
14,37,37
15,0,39.6428571428571
47,0,124.214285714286
80,0,211.428571428571
58,0,153.285714285714
53,0,140.071428571429
11,0,29.0714285714286
14,49,49
74,0,259
65,0,227.5
36,0,126
33,0,115.5
58,0,203
21,0,73.5
17,36,36
19,0,40.2352941176471
47,0,99.5294117647059
53,0,112.235294117647
81,0,171.529411764706
46,0,97.4117647058823
14,0,29.6470588235294
14,51,51
32,0,116.571428571429
47,0,171.214285714286
68,0,247.714285714286
57,0,207.642857142857
67,0,244.071428571429
7,0,25.5
21,42,42
44,0,88
35,0,70
82,0,164
47,0,94
58,0,116
11,0,22
14,60,60
43,0,184.285714285714
87,0,372.857142857143
58,0,248.571428571429
84,0,360
45,0,192.857142857143
7,0,30
7,36,36
49,0,252
49,0,252
36,0,185.142857142857
24,0,123.428571428571
55,0,282.857142857143
14,0,72
21,33,33
12,0,18.8571428571429
58,0,91.1428571428571
53,0,83.2857142857143
41,0,64.4285714285714
56,0,88
7,0,11
10,35,35
49,0,171.5
49,0,171.5
46,0,161
45,0,157.5
52,0,182
14,0,49
7,39,39
43,0,239.571428571429
19,0,105.857142857143
30,0,167.142857142857
30,0,167.142857142857
43,0,239.571428571429
22,0,122.571428571429
9,42,42
41,0,191.333333333333
32,0,149.333333333333
38,0,177.333333333333
27,0,126
29,0,135.333333333333
5,0,23.3333333333333
7,44,44
60,0,377.142857142857
22,0,138.285714285714
36,0,226.285714285714
29,0,182.285714285714
27,0,169.714285714286
11,0,69.1428571428571
5,78,78
46,0,717.6
60,0,936
82,0,1279.2
85,0,1326
27,0,421.2
12,0,187.2
5,90,90
88,0,1584
100,0,1800
72,0,1296
51,0,918
67,0,1206
13,0,234
13,59,59
49,0,222.384615384615
38,0,172.461538461538
61,0,276.846153846154
42,0,190.615384615385
53,0,240.538461538462
9,0,40.8461538461538
9,41,41
25,0,113.888888888889
44,0,200.444444444444
27,0,123
27,0,123
23,0,104.777777777778
14,0,63.7777777777778
7,34,34
17,0,82.5714285714286
37,0,179.714285714286
33,0,160.285714285714
13,0,63.1428571428571
23,0,111.714285714286
7,0,34
5,54,54
26,0,280.8
38,0,410.4
60,0,648
52,0,561.6
45,0,486
7,0,75.6
9,48,48
34,0,181.333333333333
43,0,229.333333333333
36,0,192
40,0,213.333333333333
26,0,138.666666666667
9,0,48
5,45,45
39,0,351
50,0,450
31,0,279
27,0,243
34,0,306
18,0,162
9,47,47
43,0,224.555555555556
29,0,151.444444444444
47,0,245.444444444444
32,0,167.111111111111
32,0,167.111111111111
7,0,36.5555555555556
5,33,33
5,0,33
21,0,138.6
31,0,204.6
30,0,198
26,0,171.6
9,0,59.4
10,57,57
15,0,85.5
30,0,171
47,0,267.9
63,0,359.1
50,0,285
4,0,22.8
8,65,65
24,0,195
49,0,398.125
45,0,365.625
33,0,268.125
23,0,186.875
16,0,130
6,61,61
43,0,437.166666666667
33,0,335.5
30,0,305
42,0,427
48,0,488
